Kanji,Hiragana,English,Origin,Difficulty
誰,だれ,Who,Genki 1.2,1
魚,さかな,Fish,Genki 1.2,1
肉,にく,Meat,Genki 1.2,1
野菜,やさい,Vegetable,Genki 1.2,1
本,ほん,"Book, counter for long objects",Genki 1.2,1
お願い,おねがい,Please ,Genki 1.3,1
映画,えいが,Movie,Genki 1.3,1
音楽,おんがく,Music,Genki 1.3,1
雑誌,ざっし,Magazine,Genki 1.3,1
酒,さけ,Alcohol,Genki 1.3,1
茶,ちゃ,Tea,Genki 1.3,1
水,みず,Water,Genki 1.3,1
朝ご飯,あさごはん,Breakfast,Genki 1.3,1
昼ご飯,ひるごはん,Lunch,Genki 1.3,1
晩ご飯,ばんごはん,Dinner,Genki 1.3,1
家,いえ,House,Genki 1.3,1
今日,きょう,Today,Genki 1.3,1
朝,あさ,Morning,Genki 1.3,1
今晩,こんばん,Tonight,Genki 1.3,1
毎日,まいにち,Everyday,Genki 1.3,1
毎朝,まいあさ,Every morning,Genki 1.3,1
毎晩,まいばん,Every night,Genki 1.3,1
週末,しゅうまつ,Weekend,Genki 1.3,1
土曜日,どようび,Saturday,Genki 1.3,1
日曜日,にちようび,Sunday,Genki 1.3,1
行く,いく,To go,Genki 1.3,1
帰る,かえる,To return home,Genki 1.3,2
聞く,きく,"To listen, to ask",Genki 1.3,1
読む,よむ,To read,Genki 1.3,1
飲む,のむ,To drink,Genki 1.3,1
話す,はなす,To speak,Genki 1.3,1
勉強する,べんきょうする,To study,Genki 1.3,1
起きる,おきる,To get up,Genki 1.3,1
食べる,たべる,To eat,Genki 1.3,1
寝る,ねる,To go to bed,Genki 1.3,1
見る,みる,To see,Genki 1.3,1
来る,くる,To come,Genki 1.3,1
早い,はやい,Early,Genki 1.3,2
全然,ぜんぜん,"Not at all, never",Genki 1.3,1
時々,ときどき,Sometimes,Genki 1.3,1
買い物,かいもの,Shopping,Genki 1.4,0
犬,いぬ,Dog,Genki 1.4,0
猫,ねこ,Cat,Genki 1.4,0
人,ひと,Person,Genki 1.4,0
子供,こども,Child,Genki 1.4,0
椅子,いす,Chair,Genki 1.4,0
机,つくえ,Desk,Genki 1.4,0
写真,しゃしん,Picture,Genki 1.4,0
花,はな,Flower,Genki 1.4,0
ご飯,ごはん,"Rice, meal",Genki 1.4,0
お寺,おてら,Temple,Genki 1.4,0
公園,こうえん,Park,Genki 1.4,0
バス停,ばすてい,Bus stop,Genki 1.4,0
病院,びょういん,Hospital,Genki 1.4,0
本屋,ほんや,Bookstore,Genki 1.4,0
町,まち,Town,Genki 1.4,0
昨日,きのう,Yesterday,Genki 1.4,0
時間,じかん,"~hours, time",Genki 1.4,0
先週,せんしゅう,Last week,Genki 1.4,0
時,とき,What time,Genki 1.4,0
月曜日,げつようび,Monday,Genki 1.4,0
火曜日,かようび,Tuesday,Genki 1.4,0
水曜日,すいようび,Wednesday,Genki 1.4,0
木曜日,もくようび,Thursday,Genki 1.4,0
金曜日,きんようび,Friday,Genki 1.4,0
会う,あう,To meet,Genki 1.4,0
買う,かう,To buy,Genki 1.4,0
撮る,とる,To take ,Genki 1.4,0
待つ,まつ,To wait,Genki 1.4,0
